1 	 0.000 	 0.000 
2 	 0.000 	 0.000 
3 	 0.001 	 0.000 
4 	 0.001 	 46.000 
5 	 0.001 	 784.000 
6 	 0.001 	 3422.000 
7 	 0.001 	 7397.000 
8 	 0.002 	 11130.000 
9 	 0.002 	 13975.000 
10 	 0.002 	 16118.000 
11 	 0.002 	 17343.000 
12 	 0.002 	 18581.000 
13 	 0.003 	 20225.000 
14 	 0.003 	 21837.000 
15 	 0.003 	 24134.000 
16 	 0.003 	 26117.000 
17 	 0.003 	 28066.000 
18 	 0.004 	 29669.000 
19 	 0.004 	 31070.000 
20 	 0.004 	 32280.000 
21 	 0.004 	 32634.000 
22 	 0.004 	 33033.000 
23 	 0.005 	 32834.000 
24 	 0.005 	 33353.000 
25 	 0.005 	 32550.000 
26 	 0.005 	 31808.000 
27 	 0.005 	 30996.000 
28 	 0.006 	 30021.000 
29 	 0.006 	 28850.000 
30 	 0.006 	 27574.000 
31 	 0.006 	 26054.000 
32 	 0.006 	 24553.000 
33 	 0.007 	 22842.000 
34 	 0.007 	 21580.000 
35 	 0.007 	 20049.000 
36 	 0.007 	 18666.000 
37 	 0.007 	 17083.000 
38 	 0.008 	 15794.000 
39 	 0.008 	 14577.000 
40 	 0.008 	 13574.000 
41 	 0.008 	 12537.000 
42 	 0.008 	 11458.000 
43 	 0.009 	 10627.000 
44 	 0.009 	 9629.000 
45 	 0.009 	 8847.000 
46 	 0.009 	 8184.000 
47 	 0.009 	 7308.000 
48 	 0.009 	 6673.000 
49 	 0.010 	 6090.000 
50 	 0.010 	 5758.000 
51 	 0.010 	 5203.000 
52 	 0.010 	 4840.000 
53 	 0.011 	 4493.000 
54 	 0.011 	 4186.000 
55 	 0.011 	 3914.000 
56 	 0.011 	 3530.000 
57 	 0.011 	 3341.000 
58 	 0.011 	 3100.000 
59 	 0.012 	 2905.000 
60 	 0.012 	 2588.000 
61 	 0.012 	 2455.000 
62 	 0.012 	 2346.000 
63 	 0.013 	 2164.000 
64 	 0.013 	 2079.000 
65 	 0.013 	 1905.000 
66 	 0.013 	 1788.000 
67 	 0.013 	 1799.000 
68 	 0.013 	 1614.000 
69 	 0.014 	 1490.000 
70 	 0.014 	 1471.000 
71 	 0.014 	 1391.000 
72 	 0.014 	 1263.000 
73 	 0.015 	 1243.000 
74 	 0.015 	 1105.000 
75 	 0.015 	 1132.000 
76 	 0.015 	 1098.000 
77 	 0.015 	 1032.000 
78 	 0.015 	 976.000 
79 	 0.016 	 969.000 
80 	 0.016 	 813.000 
81 	 0.016 	 849.000 
82 	 0.016 	 824.000 
83 	 0.017 	 800.000 
84 	 0.017 	 711.000 
85 	 0.017 	 749.000 
86 	 0.017 	 727.000 
87 	 0.017 	 666.000 
88 	 0.018 	 630.000 
89 	 0.018 	 595.000 
90 	 0.018 	 581.000 
91 	 0.018 	 587.000 
92 	 0.018 	 537.000 
93 	 0.018 	 521.000 
94 	 0.019 	 539.000 
95 	 0.019 	 487.000 
96 	 0.019 	 481.000 
97 	 0.019 	 493.000 
98 	 0.019 	 459.000 
99 	 0.020 	 448.000 
100 	 0.020 	 438.000 
