1 	 0.000 	 550583.000 
2 	 0.000 	 255471.000 
3 	 0.001 	 103035.000 
4 	 0.001 	 35331.000 
5 	 0.001 	 15169.000 
6 	 0.001 	 9813.000 
7 	 0.001 	 7524.000 
8 	 0.002 	 5509.000 
9 	 0.002 	 3250.000 
10 	 0.002 	 2101.000 
11 	 0.002 	 1438.000 
12 	 0.002 	 1157.000 
13 	 0.003 	 971.000 
14 	 0.003 	 863.000 
15 	 0.003 	 722.000 
16 	 0.003 	 634.000 
17 	 0.003 	 574.000 
18 	 0.004 	 549.000 
19 	 0.004 	 516.000 
20 	 0.004 	 433.000 
21 	 0.004 	 424.000 
22 	 0.004 	 399.000 
23 	 0.005 	 365.000 
24 	 0.005 	 369.000 
25 	 0.005 	 309.000 
26 	 0.005 	 278.000 
27 	 0.005 	 274.000 
28 	 0.006 	 257.000 
29 	 0.006 	 252.000 
30 	 0.006 	 257.000 
31 	 0.006 	 156.000 
32 	 0.006 	 103.000 
33 	 0.007 	 78.000 
34 	 0.007 	 88.000 
35 	 0.007 	 99.000 
36 	 0.007 	 74.000 
37 	 0.007 	 65.000 
38 	 0.008 	 70.000 
39 	 0.008 	 53.000 
40 	 0.008 	 49.000 
41 	 0.008 	 45.000 
42 	 0.008 	 33.000 
43 	 0.009 	 33.000 
44 	 0.009 	 31.000 
45 	 0.009 	 27.000 
46 	 0.009 	 21.000 
47 	 0.009 	 13.000 
48 	 0.009 	 23.000 
49 	 0.010 	 24.000 
50 	 0.010 	 11.000 
51 	 0.010 	 11.000 
52 	 0.010 	 9.000 
53 	 0.011 	 8.000 
54 	 0.011 	 8.000 
55 	 0.011 	 4.000 
56 	 0.011 	 1.000 
57 	 0.011 	 5.000 
58 	 0.011 	 7.000 
59 	 0.012 	 3.000 
60 	 0.012 	 4.000 
61 	 0.012 	 3.000 
62 	 0.012 	 1.000 
63 	 0.013 	 2.000 
64 	 0.013 	 3.000 
65 	 0.013 	 0.000 
66 	 0.013 	 2.000 
67 	 0.013 	 0.000 
68 	 0.013 	 0.000 
69 	 0.014 	 1.000 
70 	 0.014 	 1.000 
71 	 0.014 	 0.000 
72 	 0.014 	 0.000 
73 	 0.015 	 1.000 
74 	 0.015 	 1.000 
75 	 0.015 	 0.000 
76 	 0.015 	 0.000 
77 	 0.015 	 0.000 
78 	 0.015 	 0.000 
79 	 0.016 	 0.000 
80 	 0.016 	 1.000 
81 	 0.016 	 0.000 
82 	 0.016 	 0.000 
83 	 0.017 	 0.000 
84 	 0.017 	 0.000 
85 	 0.017 	 0.000 
86 	 0.017 	 0.000 
87 	 0.017 	 0.000 
88 	 0.018 	 0.000 
89 	 0.018 	 0.000 
90 	 0.018 	 0.000 
91 	 0.018 	 0.000 
92 	 0.018 	 0.000 
93 	 0.018 	 0.000 
94 	 0.019 	 0.000 
95 	 0.019 	 1.000 
96 	 0.019 	 0.000 
97 	 0.019 	 0.000 
98 	 0.019 	 0.000 
99 	 0.020 	 0.000 
100 	 0.020 	 0.000 
